,Name,Overall,Wage
8435,L. López,67,€8K
8436,A. Sedlar,67,€3K
8437,A. Woodyard,67,€4K
8438,I. Koné,67,€5K
8439,J. Hernández,67,€1K
8440,J. Espinoza,67,€4K
8441,T. Hamed,67,€0.00
8442,L. Dvali,67,€2K
8443,T. Ugajin,67,€5K
8444,Abraham,67,€3K
8445,G. Edwards,67,€4K
8446,J. Zuluaga,67,€1K
8447,A. Lundqvist,67,€2K
8448,C. Wyke,67,€5K
8449,B. Godeau,67,€4K
8450,P. Mullins,67,€3K
8451,T. Sekine,67,€8K
8452,Zé Turbo,67,€5K
8453,I. Franjić,67,€2K
8454,M. Boxall,67,€3K
8455,J. Schoop,67,€4K
8456,C. Traoré,67,€8K
8457,J. Williams,67,€3K
8458,A. Jackson,67,€4K
8459,L. Povea,67,€2K
8460,S. Ngom,67,€9K
8461,Adaílton,67,€3K
8462,A. Bell,67,€11K
8463,B. Galloway,67,€20K
8464,F. Bravo,67,€4K
8465,Rubén Yáñez,67,€5K
8466,H. Belkebla,67,€2K
8467,Y. Mutō,67,€5K
8468,P. Frattali,67,€10K
8469,Yu Dabao,67,€7K
8470,C. Noone,67,€4K
8471,D. Kempe,67,€3K
8472,J. Thomsen,67,€3K
8473,Derik,67,€4K
8474,N. Lomb,67,€10K
8475,S. Traut,67,€1K
8476,J. Ryan,67,€4K
8477,J. Morris,67,€4K
8478,S. Goss,67,€3K
8479,S. Aytaç,67,€5K
8480,K. Miyoshi,67,€3K
8481,J. Opoku,67,€4K
8482,S. Sutter,67,€3K
8483,R. Vloet,67,€5K
8484,I. Depe,67,€5K
8485,S. Campo,67,€8K
8486,G. Gotti,67,€3K
8487,Zhao Mingjian,67,€5K
8488,V. Rennella,67,€3K
8489,Nacho,67,€4K
8490,Ícaro,67,€2K
8491,A. Crawford,67,€4K
8492,A. Ajeti,67,€4K
8493,I. Vetokele,67,€5K
8494,B. Aloé,67,€2K
8495,B. Véjar,67,€3K
8496,M. Al Kuwaykibi,67,€8K
8497,Z. Ismail,67,€3K
8498,A. Fletcher,67,€16K
8499,A. Martinelli,67,€2K
8500,K. Henry,67,€3K
8501,L. Guwara,67,€5K
8502,Sancet,67,€4K
8503,Mandi,67,€2K
8504,M. Sarr,67,€4K
8505,S. Hefti,67,€4K
8506,C. Monschein,67,€6K
8507,L. Belingheri,67,€1K
8508,M. Lovera,67,€3K
8509,J. Nerwinski,67,€2K
8510,M. Turner,67,€4K
8511,Cesinha,67,€3K
8512,M. Escudero,67,€5K
8513,J. Rivas,67,€15K
8514,S. Szymański,67,€2K
8515,E. Kılınç,67,€5K
8516,Jon Erice,67,€3K
8517,F. Sears,67,€4K
8518,Kang Min Soo,67,€3K
8519,P. Lienhart,67,€5K
8520,T. Miller,67,€2K
8521,R. Fennell,67,€1K
8522,M. Ibáñez,67,€5K
8523,A. Arrighini,67,€2K
8524,J. Cádiz,67,€2K
8525,L. Kozák,67,€2K
8526,T. Hoban,67,€13K
8527,B. Romero,67,€8K
8528,G. Togni,67,€6K
8529,R. Perticone,67,€2K
8530,K. Kitagawa,67,€2K
8531,G. Tello,67,€2K
8532,I. Pallas,67,€2K
8533,B. Carvallo,67,€4K
8534,J. Hesketh,67,€13K
8535,J. Clément,67,€3K
8536,C. Songkrasin,67,€2K
8537,Quim Araujo,67,€4K
8538,K. Hause,67,€16K
8539,D. Quiñónes,67,€1K
8540,T. Wachsmuth,67,€1K
8541,J. Harvey,67,€3K
8542,Hwang Ki Wook,67,€3K
8543,K. Pusch,67,€5K
8544,K. Ota,67,€4K
8545,M. Mouandilmadji,67,€4K
8546,J. McCarthy,67,€3K
8547,André Bahia,67,€2K
8548,B. Kopplin,67,€9K
8549,S. Contessa,67,€2K
8550,J. Löhmannsröben,67,€2K
8551,T. Rowe,67,€4K
8552,M. Răduţ,67,€4K
8553,M. Hamdaoui,67,€3K
8554,I. Bandalovski,67,€0.00
8555,D. Bamba,67,€2K
8556,H. Berríos,67,€2K
8557,M. El Allouchi,67,€3K
8558,M. Barreto,67,€3K
8559,F. Tardieu,67,€5K
8560,A. Barbaro,67,€2K
8561,C. Verdonk,67,€3K
8562,A. Blondell,67,€3K
8563,Eddy Silvestre,67,€3K
8564,Z. MacMath,67,€2K
8565,M. Sao,67,€3K
8566,T. Bingöl,67,€8K
8567,M. Busch,67,€4K
8568,T. Cantwell,67,€7K
8569,Xiao Zhi,67,€6K
8570,B. Smith,67,€15K
8571,E. Suagher,67,€8K
8572,C. Flórez,67,€1K
8573,T. Ebuehi,67,€3K
8574,Kaio Aldair,67,€7K
8575,I. Groothuizen,67,€2K
8576,Provencio,67,€3K
8577,Jairo Morillas,67,€2K
8578,M. Al Fatil,67,€11K
8579,T. Deng,67,€2K
8580,D. Lamkel Zé,67,€3K
8581,V. Luchkevych,67,€5K
8582,J. Edmundsson,67,€5K
8583,G. Long,67,€6K
8584,J. Radošević,67,€7K
8585,M. Pennington,67,€3K
8586,Z. Ondrášek,67,€3K
8587,C. Remmer,67,€3K
8588,L. Slagveer,67,€5K
8589,F. Lewis,67,€3K
8590,M. Rivoredo,67,€0.00
8591,J. Vásquez,67,€1K
8592,M. Svilar,67,€1K
8593,J. Jeggo,67,€6K
8594,G. Navarrete,67,€2K
8595,Alemão,67,€4K
8596,Y. Coulibaly,67,€3K
8597,F. Saavedra,67,€1K
8598,R. Framberger,67,€6K
8599,J. Vargas,67,€3K
8600,S. Aluko,67,€13K
8601,M. Power,67,€13K
8602,S. Pasa,67,€1K
8603,F. Valot,67,€3K
8604,J. Kalla,67,€6K
8605,S. Chhetri,67,€0.00
8606,Bicho,67,€3K
8607,M. Parensen,67,€9K
8608,R. Manning,67,€3K
8609,Rodri Tarín,67,€6K
8610,A. Mbekile,67,€1K
8611,R. Arias,67,€8K
8612,S. Singh,67,€1K
8613,L. Schweers,67,€2K
8614,H. Hansson,67,€4K
8615,J. Whatmough,67,€4K
8616,H. Cummings,67,€3K
8617,T. Kløve,67,€5K
8618,E. Mosquera,67,€2K
8619,G. Di Chiara,67,€2K
8620,João Silva,67,€5K
8621,N. Solís,67,€7K
8622,J. Monreal,67,€1K
8623,W. Cartagena,67,€3K
8624,G. Itter,67,€5K
8625,Bruno Costa,67,€3K
8626,D. Dervite,67,€5K
8627,Lee Jong Sung,67,€3K
8628,E. Palomino,67,€1K
8629,R. Lindkvist,67,€3K
8630,V. Kostevych,67,€3K
8631,D. Rowe,67,€4K
8632,Diego Maurício,67,€3K
8633,M. Guidone,67,€2K
8634,B. Jones,67,€10K
8635,S. Ishizaki,67,€2K
8636,B. van Hintum,67,€3K
8637,E. Brítez,67,€5K
8638,S. Aresti,67,€8K
8639,W. Pacheco,67,€1K
8640,K. Fisker,67,€9K
8641,P. Förster,67,€2K
8642,T. Rogne,67,€4K
8643,B. Rymaniak,67,€2K
8644,R. McGowan,67,€4K
8645,D. Bingham,67,€2K
8646,S. Bradley,67,€4K
8647,Tiago Gomes,67,€4K
8648,D. Marsura,67,€2K
8649,S. Zurbriggen,67,€5K
8650,N. Valentini,67,€2K
8651,S. Field,67,€8K
8652,C. Seitz,67,€2K
8653,A. Winter,67,€5K
8654,L. Azouni,67,€5K
8655,K. Larsen,67,€2K
8656,J. Coppinger,67,€3K
8657,L. Feeney,67,€4K
8658,K. Cissé,67,€2K
8659,H. Martínez,67,€2K
8660,C. Townsend,67,€10K
8661,L. Delgado,67,€1K
8662,F. Heerkens,67,€3K
8663,T. Dierckx,67,€4K
8664,L. Rolón,67,€1K
8665,J. De la Cuesta,67,€1K
8666,J. Martínez,67,€9K
8667,J. Spearing,67,€4K
8668,J. Edwards,67,€3K
8669,J. Gonzalez,67,€2K
8670,K. Karami,67,€5K
8671,N. Lozano,67,€2K
8672,L. Camp,67,€7K
8673,L. Hyam,67,€4K
8674,O. Vásquez,67,€1K
8675,M. Polster,67,€3K
8676,Ribamar,67,€6K
8677,R. Sandoval,67,€4K
8678,Gonzalo Verdú,67,€3K
8679,A. Halliday,67,€15K
8680,T. Casasola,67,€2K
8681,J. Stojanović,67,€5K
8682,J. Burić,67,€3K
8683,H. Stengel,67,€2K
8684,Paolo Fernandes,67,€15K
8685,Rufo,67,€2K
8686,T. Hysén,67,€2K
8687,Yun Suk Young,67,€4K
8688,J. Forster-Caskey,67,€4K
8689,N. Palacios,67,€1K
8690,Jhonnattann,67,€8K
8691,D. Efremov,67,€1K
8692,B. San Juan,67,€2K
8693,R. Henry,67,€9K
8694,B. Baningime,67,€10K
8695,Zhao Xuri,67,€8K
8696,K. Luijckx,67,€5K
8697,Tiago Caeiro,67,€3K
8698,S. Moreo,67,€2K
8699,L. Maciel,67,€5K
8700,M. Gibbs-White,67,€10K
8701,Ibson Melo,67,€4K
8702,D. De Silva,67,€1K
8703,N. Hagglund,67,€3K
8704,G. Gutiérrez,67,€2K
8705,D. Nikolaou,67,€1K
8706,J. Valencia,67,€3K
8707,K. Nagasawa,67,€5K
8708,I. Yagan,67,€5K
8709,A. Bruce,67,€16K
8710,M. Bokadi,67,€5K
8711,Cleylton,67,€2K
8712,Ilsinho,67,€3K
8713,G. Moncini,67,€5K
8714,M. Jarvis,67,€10K
8715,F. Carvalho,67,€2K
8716,Iban Salvador,67,€7K
8717,Ricardo Machado,67,€7K
8718,M. Vigorito,67,€1K
8719,S. Gallucci,67,€2K
8720,F. Manzano,67,€3K
8721,B. Sweat,67,€3K
8722,V. Rodić,67,€2K
8723,M. El Hankouri,67,€4K
8724,M. Figueroa,67,€2K
8725,Hicham,67,€3K
8726,M. Čovilo,67,€3K
8727,G. Hamer,67,€3K
8728,P. Kammerbauer,67,€5K
8729,N. Ramos,67,€1K
8730,A. Grant,67,€4K
8731,M. Gómez,67,€3K
8732,Javi Sánchez,67,€24K
8733,L. Brattan,67,€4K
8734,H. Jimenez,67,€3K
8735,V. Vermeij,67,€3K
8736,S. Muroya,67,€3K
8737,P. Michorl,67,€3K
8738,F. N'Goma,67,€3K
8739,M. Lekven,67,€2K
8740,R. Tafazolli,67,€4K
8741,F. Telechea,67,€4K
8742,J. Hergault,67,€3K
8743,T. Loska,67,€2K
8744,L. Geminiani,67,€5K
8745,G. Arteaga,67,€3K
8746,C. Del Grosso,67,€1K
8747,D. Srbeny,67,€9K
8748,R. Meara,67,€2K
8749,E. Acolatse,67,€4K
8750,M. Garrido,67,€5K
8751,C. Burke,67,€3K
8752,B. Vides,67,€7K
8753,L. Comas,67,€5K
8754,Benito,67,€4K
8755,J. Martinez,67,€2K
8756,Fali,67,€3K
8757,Chus Herrero,67,€3K
8758,Kim Oh Gyu,67,€2K
8759,U. Rivas,67,€6K
8760,C. Lizarazo,67,€1K
8761,D. Braaten,67,€2K
8762,Lazo,67,€7K
8763,L. Mago,67,€0.00
8764,A. Bannink,66,€3K
8765,S. Wootton,66,€4K
8766,H. Mojica,66,€1K
8767,T. McNamara,66,€3K
8768,Kwak Tae Hwi,66,€2K
8769,C. Martins Pereira,66,€10K
8770,O. Bogle,66,€12K
8771,N. Devlin,66,€2K
8772,M. Marras,66,€2K
8773,B. Godfrey,66,€5K
8774,D. de Wit,66,€4K
8775,José Carlos,66,€2K
8776,M. Sordell,66,€4K
8777,S. Carrasco,66,€3K
8778,M. Gelabert,66,€3K
8779,H. Watanabe,66,€3K
8780,K. Rodrigues Pires,66,€2K
8781,B. Manuel,66,€4K
8782,Álex López,66,€3K
8783,L. Cabezas,66,€1K
8784,A. Bussaglia,66,€1K
8785,L. Copete,66,€1K
8786,M. Crimi,66,€2K
8787,D. Toia,66,€2K
8788,D. Bakker,66,€2K
8789,Lucas,66,€4K
8790,Neto Borges,66,€1K
8791,D. Frare,66,€1K
8792,C. Rivas,66,€3K
8793,B. Straalman,66,€2K
8794,T. Chalobah,66,€1K
8795,K. Jóźwiak,66,€2K
8796,U. Bangura,66,€4K
8797,P. Strand,66,€2K
8798,F. Ahmadzadeh,66,€3K
8799,K. Engel,66,€2K
8800,A. Straith,66,€1K
8801,Y. Rivera,66,€1K
8802,K. Opseth,66,€2K
8803,J. Naismith,66,€3K
8804,Evander,66,€5K
8805,Íñigo López,66,€2K
8806,E. Correa,66,€1K
8807,M. Steinmann,66,€4K
8808,Y. Toyoda,66,€2K
8809,E. Atuesta,66,€2K
8810,A. Abeid,66,€4K
8811,P. Barrios,66,€4K
8812,H. Pertuz,66,€1K
8813,F. Strauss,66,€3K
8814,R. Schwartz,66,€2K
8815,F. Moyano,66,€4K
8816,C. Kum,66,€3K
8817,M. Albertazzi,66,€1K
8818,B. Santalab,66,€2K
8819,F. Nordkvelle,66,€2K
8820,David Haro,66,€2K
8821,Jadson,66,€3K
8822,João Gabriel,66,€5K
8823,J. Villarreal,66,€3K
8824,T. Thompson,66,€2K
8825,Reinildo,66,€2K
8826,Z. Flemming,66,€2K
8827,A. Forde,66,€8K
8828,F. Olinga,66,€3K
8829,Gaspar,66,€2K
8830,H. Okuno,66,€2K
8831,Y. Takahashi,66,€2K
8832,M. Mirić,66,€5K
8833,K. Vassell,66,€10K
8834,Rafa Páez,66,€5K
8835,D. Dianessy,66,€2K
8836,R. McGree,66,€3K
8837,J. Goossens,66,€3K
8838,G. Acosta,66,€4K
8839,M. Ihiekwe,66,€8K
8840,J. Wildsmith,66,€5K
8841,R. Burke,66,€5K
8842,N. Larsen,66,€3K
8843,A. Al Ghamdi,66,€9K
8844,Manu García,66,€2K
8845,J. Keita,66,€3K
8846,D. Adorni,66,€1K
8847,C. Gutiérrez,66,€2K
8848,Ha Chang Rae,66,€2K
8849,S. Kiyine,66,€4K
8850,E. Eze,66,€5K
8851,M. Ødegaard,66,€2K
8852,V. Ranković,66,€1K
8853,Pedro Chirivella,66,€17K
8854,A. Al Obaid,66,€9K
8855,B. Gimber,66,€5K
8856,Theo Ryuki,66,€3K
8857,Miranda,66,€12K
8858,B. Inman,66,€2K
8859,Aridai,66,€3K
8860,C. Lenz,66,€7K
8861,Sun Jie,66,€3K
8862,B. Rovira,66,€1K
8863,R. Pirrello,66,€1K
8864,G. Vlijter,66,€2K
8865,Álex Díez,66,€2K
8866,N. Dumitru,66,€3K
8867,K. Al Ghamdi,66,€10K
8868,M. Boyle,66,€2K
8869,D. Saddiki,66,€2K
8870,S. Franklin,66,€2K
8871,S. Ingelsson,66,€6K
8872,Josimar Feijoo,66,€5K
8873,S. Diaz,66,€1K
8874,Manu Vallejo,66,€2K
8875,Lee Sang Ho,66,€3K
8876,F. Kurto,66,€1K
8877,A. Witry,66,€1K
8878,L. Varney,66,€3K
8879,Valverde,66,€2K
8880,H. Taniguchi,66,€2K
8881,J. Blåbjerg,66,€4K
8882,J. Emmanuel,66,€2K
8883,N. Gauna,66,€2K
8884,P. Kovář,66,€1K
8885,F. Holst,66,€2K
8886,B. Barker,66,€3K
8887,L. Trotter,66,€3K
8888,F. Narsingh,66,€3K
8889,D. Gustavsson,66,€2K
8890,C. Dajome,66,€1K
8891,M. Trapp,66,€2K
8892,A. Mintzel,66,€2K
8893,M. Piossek,66,€1K
8894,Borja Granero,66,€2K
8895,Son Jeong Hyeon,66,€2K
8896,Kim Sung Ju,66,€2K
8897,C. Dieng,66,€6K
8898,L. Sinisterra,66,€2K
8899,M. Cabit,66,€2K
8900,O. Wijndal,66,€2K
8901,N. Vujadinović,66,€3K
8902,M. Delač,66,€3K
8903,D. Herner,66,€1K
8904,M. Hilßner,66,€1K
8905,Beto da Silva,66,€11K
8906,Bastos,66,€3K
8907,D. Jastrzembski,66,€4K
8908,F. Farnolle,66,€3K
8909,M. Lorenz,66,€3K
8910,K. Kallaste,66,€2K
8911,N. Opoku,66,€5K
8912,S. Ağçay,66,€4K
8913,M. Wassey,66,€4K
8914,P. Micin,66,€4K
8915,M. Crépeau,66,€0.00
8916,J. Helmer,66,€4K
8917,C. Doudin,66,€3K
8918,M. Mak,66,€3K
8919,S. Sharahili,66,€6K
8920,N. Datković,66,€2K
8921,E. Lancini,66,€1K
8922,Jailson Acuna,66,€4K
8923,P. Pawlett,66,€5K
8924,J. Hardeveld,66,€2K
8925,J. Kliment,66,€9K
8926,R. Goreux,66,€4K
8927,C. Vargas,66,€6K
8928,A. Fuenmayor,66,€2K
8929,R. Åhman Persson,66,€1K
8930,M. Slavov,66,€4K
8931,Lee Chan Dong,66,€2K
8932,D. Szymański,66,€2K
8933,S. Stolze,66,€3K
8934,B. Tekpetey,66,€3K
8935,F. El Mellali,66,€6K
8936,M. Doughty,66,€5K
8937,M. Szczepaniak,66,€2K
8938,A. Martínez,66,€2K
8939,T. Teniste,66,€2K
8940,G. Korte,66,€3K
8941,B. Alnwick,66,€3K
8942,D. Acosta,66,€2K
8943,B. Manu,66,€1K
8944,Jin Seong Wook,66,€2K
8945,S. Akasaki,66,€3K
8946,S. N'Guessan,66,€2K
8947,A. Angoula,66,€1K
8948,K. Pedersen,66,€4K
8949,J. Brayford,66,€3K
8950,S. Suciu,66,€2K
8951,M. Ricci,66,€1K
8952,Morillas,66,€2K
8953,K. Andersen,66,€1K
8954,F. Varela,66,€3K
8955,Júnior Negão,66,€3K
8956,F. Casarini,66,€2K
8957,J. Omolo,66,€4K
8958,C. Chapman,66,€2K
8959,Rúben Oliveira,66,€3K
8960,S. Lizana,66,€2K
8961,K. Hidalgo,66,€1K
8962,J. Mackie,66,€4K
8963,Han Seung Gyu,66,€2K
8964,Narcisso Mau,66,€6K
8965,L. Reis,66,€1K
8966,C. Gomes,66,€10K
8967,L. Angulo,66,€1K
8968,E. Domaschke,66,€1K
8969,M. Nizam,66,€5K
8970,B. Halloran,66,€2K
8971,P. Möschl,66,€6K
8972,M. Milec,66,€0.00
8973,F. Bambock,66,€2K
8974,S. Vasiliadis,66,€3K
8975,Rui Silva,66,€3K
8976,T. van de Looi,66,€1K
8977,M. Orozco,66,€3K
8978,M. N'Doye,66,€2K
8979,E. Sarraj,66,€7K
8980,Fabio,66,€4K
8981,J. Graham,66,€15K
8982,E. Farias,66,€1K
8983,Mica Pinto,66,€2K
8984,J. Tanaka,66,€3K
8985,B. Whiteman,66,€3K
8986,Nazario Serpe,66,€4K
8987,I. Arce,66,€3K
8988,R. Hollingshead,66,€2K
8989,Botelhinonsa,66,€4K
8990,Lim Chan Wool,66,€2K
8991,Joca,66,€3K
8992,J. Sandoval,66,€4K
8993,B. Knežević,66,€1K
8994,Y. Anchico,66,€1K
8995,F. Del Sole,66,€19K
8996,Dálcio,66,€3K
8997,F. Cosenza,66,€1K
8998,P. Daka,66,€6K
8999,O. Ribera,66,€0.00
9000,V. Andriuškevičius,66,€2K
9001,R. Clark,66,€2K
9002,M. Angha,66,€7K
9003,J. Dasilva,66,€8K
9004,M. Bär,66,€1K
9005,J. Mora,66,€2K
9006,G. Rodríguez,66,€4K
9007,F. Diarra,66,€2K
9008,K. Igboananike,66,€2K
9009,S. Horvath,66,€4K
9010,J. Levi,66,€2K
9011,D. Cole,66,€14K
9012,M. Hallberg,66,€3K
9013,Carlos Blanco,66,€7K
9014,R. Guerra,66,€6K
9015,S. Scannell,66,€4K
9016,J. Marquis,66,€4K
9017,Park Gi Dong,66,€3K
9018,N. Jackers,66,€2K
9019,M. Schröter,66,€1K
9020,L. Broź,66,€2K
9021,J. Dodoo,66,€13K
9022,C. Ronan,66,€13K
9023,Edenildo Lagoas,66,€6K
9024,S. Freis,66,€4K
9025,E. Diaw,66,€2K
9026,E. Owusu,66,€10K
9027,L. Vácha,66,€1K
9028,L. Hutten,66,€3K
9029,M. Dittgen,66,€2K
9030,Park Han Bin,66,€2K
9031,R. Matsuda,66,€3K
9032,D. Frick,66,€1K
9033,Chuca,66,€6K
9034,A. Lamas,66,€3K
9035,A. Grant,66,€2K
9036,Hwang Seok Ho,66,€2K
9037,G. Berthier,66,€5K
9038,F. Depaoli,66,€4K
9039,E. Godoy,66,€1K
9040,N. Dorsch,66,€3K
9041,M. Massop,66,€3K
9042,D. Blacha,66,€2K
9043,A. Angulo,66,€1K
9044,R. Niemeijer,66,€2K
9045,M. Melluso,66,€3K
9046,Kim Ho Nam,66,€2K
9047,L. Cabrera,66,€1K
9048,P. Dziczek,66,€2K
9049,L. Badiashile,66,€8K
9050,H. Shipp,66,€3K
9051,O. Cissokho,66,€2K
9052,Ricardinho,66,€3K
9053,P. Tomasik,66,€3K
9054,T. Leugers,66,€1K
9055,T. Wada,66,€4K
9056,A. Beghetto,66,€4K
9057,M. Inoha,66,€3K
9058,D. Cappelletti,66,€1K
9059,D. Murillo,66,€1K
9060,D. Blanco,66,€5K
9061,G. Kobel,66,€4K
9062,J. Bøge,66,€3K
9063,B. Valette,66,€4K
9064,S. Davies,66,€4K
9065,F. Proia,66,€1K
9066,O. Kiteishvili,66,€5K
9067,C. Forrester,66,€2K
9068,D. Balanta,66,€1K
9069,L. Montipó,66,€1K
9070,J. Tverskov,66,€4K
9071,D. Barinov,66,€1K
9072,M. Hughes,66,€2K
9073,S. Brandstetter,66,€3K
9074,R. Seuntjens,66,€3K
9075,D. Samuel,66,€11K
9076,E. Palmer-Brown,66,€2K
9077,Y. González,66,€1K
9078,D. van Bruggen,66,€2K
9079,G. Pacheco,66,€2K
9080,P. Ochs,66,€7K
9081,Miguelón,66,€7K
9082,J. Horn,66,€2K
9083,E. Boldewijn,66,€6K
9084,Stéfano Pinho,66,€3K
9085,P. Bochniewicz,66,€6K
9086,E. Caicedo,66,€1K
9087,P. Sisniega,66,€5K
9088,F. Wadja,66,€2K
9089,A. Al Faraj,66,€10K
9090,S. Al Muwallad,66,€10K
9091,Yang Cheng,66,€3K
9092,N. Douchez,66,€1K
9093,U. Jenssen,66,€3K
9094,C. Dawson,66,€5K
9095,F. Gino,66,€4K
9096,Alberto Soro,66,€2K
9097,C. Carrillo,66,€1K
9098,D. Palacios,66,€1K
9099,A. Baclet,66,€1K
9100,E. Jääger,66,€2K
9101,M. Hofmann,66,€4K
9102,J. Jach,66,€11K
9103,G. Docherty,66,€10K
9104,L. Escorcia,66,€1K
9105,R. Rebolledo,66,€2K
9106,Toni Martínez,66,€16K
9107,Ander Guevara,66,€6K
9108,D. Drescher,66,€5K
9109,J. Gammelby,66,€6K
9110,J. Watts,66,€2K
9111,R. O'Donovan,66,€2K
9112,J. Rodríguez,66,€7K
9113,D. Bičík,66,€1K
9114,N. Vergos,66,€1K
9115,J. Narváez,66,€0.00
9116,R. Nyambe,66,€8K
9117,E. Reséndez,66,€7K
9118,D. Widgren,66,€2K
9119,A. Cocco,66,€2K
9120,O. Kefkir,66,€3K
9121,J. Tutuarima,66,€2K
9122,Bruno Leite,66,€2K
9123,J. Meekings,66,€2K
9124,G. Lloris,66,€7K
9125,M. Konczkowski,66,€2K
9126,A. Jovanović,66,€2K
9127,C. Depres,66,€5K
9128,B. Cufré,66,€3K
9129,J. Asoro,66,€5K
9130,R. Boguski,66,€3K
9131,A. Jacobsen,66,€5K
9132,S. Miangue,66,€6K
9133,A. Bernal,66,€2K
9134,E. Capradossi,66,€12K
9135,F. Perucchini,66,€1K
9136,T. Agyepong,66,€2K
9137,G. Kharaishvili,66,€1K
9138,Iñigo Vicente,66,€5K
9139,J. Baldwin,66,€4K
9140,R. Dekker,66,€3K
9141,Cristo González,66,€26K
9142,Diogo Costa,66,€1K
9143,G. Koyalipou,66,€1K
9144,Alan Sousa,66,€3K
9145,R. Ramírez,66,€2K
9146,S. Fischer,66,€4K
9147,L. Kelly,66,€3K
9148,C. Dorda,66,€3K
9149,N. Næss,66,€3K
9150,D. Asprilla,66,€3K
9151,K. Endo,66,€2K
9152,B. Sævarsson,66,€0.00
9153,A. Acosta,66,€13K
9154,S. Carruthers,66,€4K
9155,P. Mpanzu,66,€3K
9156,G. Milan,66,€3K
9157,K. Chiba,66,€4K
9158,M. Boadu,66,€3K
9159,C. Doyle,66,€2K
9160,Fran Rodríguez,66,€2K
9161,S. Jakubiak,66,€2K
9162,M. Buchalik,66,€2K
9163,N. Proschwitz,66,€1K
9164,F. Banguero,66,€2K
9165,M. El-Shenawy,66,€0.00
9166,H. Iikura,66,€2K
9167,K. Gehring,66,€2K
9168,P. McGowan,66,€3K
9169,J. Pierazzi,66,€2K
9170,Wang Yongpo,66,€7K
9171,M. Sánchez,66,€4K
9172,S. Gannon,66,€1K
9173,C. Capone,66,€4K
9174,C. Taylor,66,€3K
9175,R. Lange,66,€1K
9176,A. Keita,66,€3K
9177,B. Gueye,66,€4K
9178,K. Wagner,66,€2K
9179,Xisco Campos,66,€2K
9180,C. Robertson,66,€8K
9181,C. Conway,66,€12K
9182,Jajá,66,€1K
9183,A. Vanins,66,€2K
9184,O. Mendoza,66,€6K
9185,A. Faltsetas,66,€2K
9186,J. Elsey,66,€1K
9187,A. Plizzari,66,€4K
9188,D. Martin,66,€3K
9189,Gu Cao,66,€4K
9190,L. Strizzolo,66,€1K
9191,Juan Rodríguez,66,€3K
9192,S. Moyano,66,€3K
9193,A. Schetino,66,€11K
9194,A. Caci,66,€4K
9195,V. Janjetović,66,€2K
9196,N. Haas,66,€7K
9197,T. Valls,66,€5K
9198,P. Herrmann,66,€4K
9199,C. Ramsebner,66,€4K
9200,L. Martinelli,66,€1K
9201,Freire,66,€2K
9202,T. Černý,66,€2K
9203,N. Spalek,66,€1K
9204,N. Madonna,66,€1K
9205,M. Kobras,66,€3K
9206,N. Bärkroth,66,€2K
9207,M. Busellato,66,€1K
9208,M. Stein,66,€1K
9209,N. Bertrams,66,€3K
9210,A. Doukha,66,€5K
9211,E. Quiñones,66,€2K
9212,A. Sørensen,66,€8K
9213,Wang Zhuo,66,€4K
9214,B. Easton,66,€2K
9215,A. Boyle,66,€4K
9216,V. Kravets,66,€2K
9217,N. Law,66,€4K
9218,Basilio,66,€2K
9219,K. Pearce,66,€6K
9220,M. Edwards,66,€10K
9221,P. Brożek,66,€2K
9222,L. Ravanelli,66,€9K
9223,A. Taylor,66,€5K
9224,M. Nalepa,66,€3K
9225,Lee Myung Jae,66,€2K
9226,Tang Xin,66,€4K
9227,A. Arregui,66,€3K
9228,H. El Sayed,66,€8K
9229,D. Horst,66,€2K
9230,Álex Barrera,66,€2K
9231,Ricardo Vaz,66,€2K
9232,L. Röser,66,€6K
9233,C. Feraud,66,€4K
9234,R. Eckardt,66,€1K
9235,K. Heerings,66,€3K
9236,Lorenzao Masca,66,€9K
9237,M. Ojeda,66,€3K
9238,M. Ndockyt,66,€3K
9239,P. Funk,66,€1K
9240,M. Fallatah,66,€11K
9241,Euller,66,€7K
9242,Liao Lisheng,66,€5K
9243,S. Findlay,66,€2K
9244,H. Sönmez,66,€6K
9245,W. Norris,66,€10K
9246,M. Spano Rahou,66,€2K
9247,L. Zarandia,66,€2K
9248,Fábinho,66,€2K
9249,Zé Manuel,66,€2K
9250,B. Innocent,66,€2K
9251,L. Page,66,€3K
9252,B. Van Durmen,66,€3K
9253,Jano,66,€5K
9254,E. Larsson,66,€2K
9255,M. Ehmer,66,€3K
9256,V. Solomon-Otabor,66,€7K
9257,V. Janjičić,66,€2K
9258,R. Blanco,66,€2K
9259,N. Toko,66,€8K
9260,J. Rafferty,66,€2K
9261,Higinio,66,€3K
9262,Danilo Sacrio,66,€7K
9263,T. Szántó,66,€5K
9264,N. Ravaglia,66,€1K
9265,H. Alpsoy,66,€4K
9266,M. Migliorini,66,€2K
9267,Emílio Trevões,66,€5K
9268,L. Bergsma,66,€3K
9269,A. Marciniak,66,€2K
9270,S. Kotysch,66,€4K
9271,N. Peñailillo,66,€1K
9272,Fu Huan,66,€4K
9273,B. Emir,66,€7K
9274,Flávio Triginho,66,€7K
9275,D. Haas,66,€2K
9276,Magno Novaes,66,€1K
9277,S. Ferguson,66,€5K
9278,S. Sinovic,66,€2K
9279,B. Enobakhare,66,€14K
9280,T. McMahon,66,€4K
9281,E. Ba,66,€3K
9282,C. Ayala,66,€1K
